model,auprc,auc_roc,precision_aki,recall_aki
Random Forest,0.6809160575719575,0.8279819983359805,0.5808612440191387,0.6714601769911505
XGBoost,0.7225114511688702,0.8506718478178655,0.5943127962085308,0.6935840707964602
Logistic Regression,0.6661391139173719,0.8224306028288328,0.5128205128205128,0.7300884955752213
