number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state
29,0.6922472949944841,2026-07-30 12:05:17.261251,2026-07-30 12:05:18.514000,0 days 00:00:01.252749,0.8968379110162086,3.6364936386868347,0.030802424814309348,6,6,280,0.6730135589270595,COMPLETE
30,0.6947950089271826,2026-07-30 12:05:18.515657,2026-07-30 12:05:19.731184,0 days 00:00:01.215527,0.8263058496359977,4.055783290963089,0.01425180596692599,4,9,400,0.6056770841482098,COMPLETE
31,0.6886567335058529,2026-07-30 12:05:19.733071,2026-07-30 12:05:20.573696,0 days 00:00:00.840625,0.6052924546897,3.3963410904945075,0.03855057722835575,4,7,329,0.9177638288813136,COMPLETE
32,0.6948059612968221,2026-07-30 12:05:20.575303,2026-07-30 12:05:21.305671,0 days 00:00:00.730368,0.6381400697766244,3.33620075166523,0.04239597221703227,5,7,223,0.9122958174328216,COMPLETE
33,0.6904968710154709,2026-07-30 12:05:21.307163,2026-07-30 12:05:22.212791,0 days 00:00:00.905628,0.6345642617229396,2.967401592646824,0.028755358658288977,3,7,456,0.9426721214854114,COMPLETE
34,0.6871714032604628,2026-07-30 12:05:22.214310,2026-07-30 12:05:23.143620,0 days 00:00:00.929310,0.6697573190242536,4.379764420684033,0.06952142956444203,4,7,374,0.8215325058953994,COMPLETE
35,0.693444123304655,2026-07-30 12:05:23.145125,2026-07-30 12:05:23.895975,0 days 00:00:00.750850,0.659336701945966,2.394886994522949,0.020857928773506913,3,8,348,0.8669266308692829,COMPLETE
36,0.6918237181209989,2026-07-30 12:05:23.897564,2026-07-30 12:05:24.926670,0 days 00:00:01.029106,0.6277535640348543,3.6414281710211607,0.036228830450355014,5,6,316,0.9806321476778613,COMPLETE
37,0.6944551969185883,2026-07-30 12:05:24.928170,2026-07-30 12:05:26.203488,0 days 00:00:01.275318,0.7299068317608193,4.65434571893568,0.014174059504459002,4,4,479,0.9395269286868606,COMPLETE
38,0.690124058459354,2026-07-30 12:05:26.204991,2026-07-30 12:05:27.035712,0 days 00:00:00.830721,0.6565274675135188,3.1050330123627576,0.0819809995934361,7,9,218,0.9702974149348842,COMPLETE
39,0.6929858825060333,2026-07-30 12:05:27.037251,2026-07-30 12:05:28.478219,0 days 00:00:01.440968,0.6890235560119735,3.4740226280952697,0.01634358180084527,9,5,144,0.8102140795174491,COMPLETE
40,0.6937919883094369,2026-07-30 12:05:28.479726,2026-07-30 12:05:30.181716,0 days 00:00:01.701990,0.7431670119200485,2.863640861716376,0.02888347658266459,8,8,271,0.8981439450533438,COMPLETE
41,0.6952656393296341,2026-07-30 12:05:30.183249,2026-07-30 12:05:31.281978,0 days 00:00:01.098729,0.6948175989497665,1.4665068247538544,0.022178839312303453,5,10,357,0.9434773558092105,COMPLETE
42,0.6967562010858898,2026-07-30 12:05:31.283484,2026-07-30 12:05:32.267090,0 days 00:00:00.983606,0.6811567645059523,2.3461175822419404,0.017417363478766983,4,10,389,0.8801057815423325,COMPLETE
43,0.6950583925812464,2026-07-30 12:05:32.268612,2026-07-30 12:05:33.288175,0 days 00:00:01.019563,0.6275138780098286,1.8336920377519348,0.01224849906419808,4,9,389,0.8829574484917887,COMPLETE
44,0.692352203112364,2026-07-30 12:05:33.289737,2026-07-30 12:05:34.183891,0 days 00:00:00.894154,0.7855713728980431,2.2388592603368123,0.015920170374792465,3,3,426,0.9101834392064131,COMPLETE
45,0.6931458123824241,2026-07-30 12:05:34.185451,2026-07-30 12:05:36.746742,0 days 00:00:02.561291,0.7048954325221493,3.834374963156216,0.026481949660276134,10,7,397,0.8355513136279593,COMPLETE
46,0.6924695079420614,2026-07-30 12:05:36.748222,2026-07-30 12:05:37.523532,0 days 00:00:00.775310,0.6825068810799182,3.1459545618717604,0.010147085065259236,4,8,287,0.8742594854276221,COMPLETE
47,0.6693660767805178,2026-07-30 12:05:37.525119,2026-07-30 12:05:38.992954,0 days 00:00:01.467835,0.9651361532802505,0.8742238931413995,0.13287630518278803,6,10,344,0.7059754174636799,COMPLETE
48,0.689927644331402,2026-07-30 12:05:38.994428,2026-07-30 12:05:39.976288,0 days 00:00:00.981860,0.7325979077214363,2.6819023798575574,0.04835642736220477,3,9,467,0.7929719668507104,COMPLETE
49,0.6942018931734173,2026-07-30 12:05:39.977897,2026-07-30 12:05:40.699168,0 days 00:00:00.721271,0.8422207313167241,4.063380234700412,0.020529995278244468,4,2,240,0.7385654027308597,COMPLETE
50,0.6960797959328489,2026-07-30 12:05:40.700730,2026-07-30 12:05:41.292967,0 days 00:00:00.592237,0.7143844199635903,1.9359434883232682,0.033251706864647235,5,5,161,0.9761504849691286,COMPLETE
51,0.6969900210770553,2026-07-30 12:05:41.294496,2026-07-30 12:05:41.886210,0 days 00:00:00.591714,0.7715960012290862,1.6390559453755589,0.03405416183012805,5,5,159,0.9738579959519753,COMPLETE
52,0.6960064714201107,2026-07-30 12:05:41.887687,2026-07-30 12:05:42.470424,0 days 00:00:00.582737,0.7129731681518595,1.5588690498421065,0.0334679836443101,5,5,159,0.9790210125459705,COMPLETE
53,0.6952564597564663,2026-07-30 12:05:42.471938,2026-07-30 12:05:43.100207,0 days 00:00:00.628269,0.7128278178431686,1.3869645904964565,0.035230549528635684,5,4,171,0.9765218629125748,COMPLETE
54,0.6920147507853892,2026-07-30 12:05:43.101750,2026-07-30 12:05:43.785745,0 days 00:00:00.683995,0.7721460346641695,1.65329759802516,0.0497539686616285,6,5,155,0.9986998580507249,COMPLETE
55,0.6965374388700721,2026-07-30 12:05:43.787225,2026-07-30 12:05:44.212173,0 days 00:00:00.424948,0.7347082364773727,1.2281751970247259,0.04303483375658998,5,5,102,0.9534366145445643,COMPLETE
56,0.6968489793029379,2026-07-30 12:05:44.213662,2026-07-30 12:05:44.673141,0 days 00:00:00.459479,0.7426120053846146,1.0881704358102193,0.042989300266821774,5,4,103,0.9503207215148061,COMPLETE
57,0.6963846443028825,2026-07-30 12:05:44.674874,2026-07-30 12:05:45.107303,0 days 00:00:00.432429,0.7406353961345168,1.043437204166413,0.043938449509116594,5,3,101,0.9531014482571654,COMPLETE
58,0.6949912004251311,2026-07-30 12:05:45.108796,2026-07-30 12:05:45.540923,0 days 00:00:00.432127,0.7709082100957947,1.0609453820390304,0.059591403548845824,5,3,100,0.9594198983027625,COMPLETE
59,0.6929851304206256,2026-07-30 12:05:45.542458,2026-07-30 12:05:46.146850,0 days 00:00:00.604392,0.7871039031272384,0.3410557983964878,0.04310475608431439,6,3,120,0.9534385934615445,COMPLETE
60,0.6939000050797357,2026-07-30 12:05:46.148326,2026-07-30 12:05:46.729099,0 days 00:00:00.580773,0.7416691142368464,1.2318345320695878,0.06552650374026767,6,2,116,0.9291154589964877,COMPLETE
61,0.6935008657711612,2026-07-30 12:05:46.730577,2026-07-30 12:05:47.405975,0 days 00:00:00.675398,0.7558482459243449,0.7301823281305956,0.045774162650162965,5,4,194,0.9829104777864297,COMPLETE
62,0.695076804161802,2026-07-30 12:05:47.407481,2026-07-30 12:05:47.905554,0 days 00:00:00.498073,0.7288554842618169,1.9231366224745445,0.054447456330351786,5,4,133,0.959751619485449,COMPLETE
63,0.6959871331592796,2026-07-30 12:05:47.907017,2026-07-30 12:05:48.374705,0 days 00:00:00.467688,0.7411981105112471,1.1336505204132565,0.04017401732433311,5,1,114,0.9332989136931552,COMPLETE
64,0.6946420121637019,2026-07-30 12:05:48.376176,2026-07-30 12:05:48.813210,0 days 00:00:00.437034,0.8057248501022072,0.5518560095475609,0.07723596346152097,4,5,145,0.9511691677566706,COMPLETE
65,0.6959892722113113,2026-07-30 12:05:48.814677,2026-07-30 12:05:49.232884,0 days 00:00:00.418207,0.7028452310888703,1.2550468604531668,0.031230374784309088,5,6,101,0.8996355947533408,COMPLETE
66,0.6949524265217678,2026-07-30 12:05:49.234425,2026-07-30 12:05:50.132428,0 days 00:00:00.898003,0.7662202843282623,0.9192613483000978,0.026804856282124936,6,3,183,0.9871962829921442,COMPLETE
67,0.6909631975616564,2026-07-30 12:05:50.133965,2026-07-30 12:05:50.806625,0 days 00:00:00.672660,0.6741301249534701,1.9854574173175785,0.05326907912834026,5,4,208,0.9689710003264389,COMPLETE
68,0.693645064235632,2026-07-30 12:05:50.808113,2026-07-30 12:05:51.235240,0 days 00:00:00.427127,0.7201565333415121,1.7042735102839608,0.02387032735338921,4,4,128,0.9228745001907948,COMPLETE
69,0.6953180844215917,2026-07-30 12:05:51.236722,2026-07-30 12:05:51.820098,0 days 00:00:00.583376,0.7810779051875815,2.411312039701988,0.038563073678559635,5,5,161,0.9489889278306977,COMPLETE
70,0.6959141347564178,2026-07-30 12:05:51.821662,2026-07-30 12:05:52.203317,0 days 00:00:00.381655,0.8016289284869372,1.4025431497129424,0.044111588732456894,4,6,113,0.9063617438864109,COMPLETE
71,0.6975967488471169,2026-07-30 12:05:52.204947,2026-07-30 12:05:52.749285,0 days 00:00:00.544338,0.7244928116631227,1.557028013419835,0.03284753298188328,5,5,141,0.9883147943112698,COMPLETE
72,0.6963089774658228,2026-07-30 12:05:52.750754,2026-07-30 12:05:53.284521,0 days 00:00:00.533767,0.7519906721724589,2.0406369870260086,0.03236388318613561,5,5,140,0.9658648229489258,COMPLETE
73,0.6978801351207345,2026-07-30 12:05:53.285992,2026-07-30 12:05:53.849756,0 days 00:00:00.563764,0.7358778874464489,1.5679473814373432,0.0285150595713204,5,5,142,0.9894556066969794,COMPLETE
74,0.6958036291158232,2026-07-30 12:05:53.851223,2026-07-30 12:05:54.569929,0 days 00:00:00.718706,0.7581182424465149,0.9104765955315162,0.02722411693665641,6,3,126,0.993012246905019,COMPLETE
75,0.694880524924531,2026-07-30 12:05:54.571509,2026-07-30 12:05:55.065385,0 days 00:00:00.493876,0.7329608980930388,1.2300134990457028,0.03004619224771506,5,4,109,0.9977625905988841,COMPLETE
76,0.698555255318876,2026-07-30 12:05:55.066868,2026-07-30 12:05:55.754773,0 days 00:00:00.687905,0.8190522168587693,0.5622508304853633,0.03710844224016822,6,6,144,0.9318260292221366,COMPLETE
77,0.6946533590226461,2026-07-30 12:05:55.756235,2026-07-30 12:05:56.614827,0 days 00:00:00.858592,0.8217873730994514,0.3171989015477512,0.022840611629927066,6,6,178,0.9358143960736299,COMPLETE
78,0.69348547205945,2026-07-30 12:05:56.616412,2026-07-30 12:05:57.518156,0 days 00:00:00.901744,0.8199384175778337,0.7037451197173744,0.036777392629855805,7,6,149,0.9689959295318725,COMPLETE
79,0.688470604047584,2026-07-30 12:05:57.519874,2026-07-30 12:05:58.003146,0 days 00:00:00.483272,0.8723987415470317,1.5554381921132234,0.018199953968718114,4,5,134,0.984859779068093,COMPLETE
80,0.6954876720524528,2026-07-30 12:05:58.004748,2026-07-30 12:05:58.676409,0 days 00:00:00.671661,0.7970497234731719,0.43558253335135233,0.021091436036799756,6,6,123,0.8870517678770127,COMPLETE
81,0.6943119131143348,2026-07-30 12:05:58.677997,2026-07-30 12:05:59.238609,0 days 00:00:00.560612,0.74315908000935,1.131659251425113,0.040231108321987355,4,5,196,0.9499262193397531,COMPLETE
